epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1128.16,0.9943,0.5072,0.38985,0.75208,1.64662,0.91206,0.77778,0.81535,0.51653,0.93304,0.83333,0.90923,0.78444,1.6309,0.58468,0.40498,1.18779,2.57252,0.0011288,0.0011288,0.0011288
46,1161.26,0.96793,0.4529,0.38323,0.73053,1.61786,0.90146,0.77778,0.83165,0.5296,0.93018,0.83333,0.91967,0.7971,1.54732,0.57498,0.4607,1.06092,2.49927,0.001109,0.001109,0.001109
47,1195.17,0.88681,0.33013,0.34426,0.70039,1.56787,0.87326,0.76618,0.85765,0.56459,0.84907,0.93787,0.90342,0.82813,1.31531,0.50678,0.4719,0.87732,2.36125,0.0010892,0.0010892,0.0010892
48,1218.43,1.0421,0.37864,0.3282,0.75079,1.65263,0.83583,0.84917,0.84563,0.54717,0.89009,0.90034,0.90977,0.84932,1.34943,0.44031,0.46953,0.84848,2.55894,0.0010694,0.0010694,0.0010694
49,1240.41,1.01825,0.39381,0.36416,0.72533,1.59869,0.83994,0.87515,0.84328,0.55374,0.89103,0.90925,0.93143,0.84532,1.34725,0.49417,0.56579,0.84979,2.56481,0.0010496,0.0010496,0.0010496
50,1260.47,0.99549,0.47206,0.37065,0.73132,1.59816,0.82133,0.77778,0.79779,0.54464,0.94376,0.93279,0.94031,0.82095,1.30479,0.59576,0.62827,0.81008,2.45238,0.0010298,0.0010298,0.0010298
51,1280.56,0.86217,0.30964,0.34417,0.64726,1.47067,0.83466,0.88889,0.84163,0.574,0.88813,0.94444,0.91206,0.8356,1.41919,0.51265,0.41603,0.98254,2.54944,0.00101,0.00101,0.00101
52,1299.86,0.95132,0.47387,0.36706,0.83179,1.5301,0.83228,0.88889,0.84563,0.58866,0.88548,0.94444,0.90905,0.84463,1.49243,0.48898,0.38465,0.99105,2.58396,0.0009902,0.0009902,0.0009902
53,1319.76,0.84655,0.45814,0.33033,0.69917,1.49268,0.92318,0.77778,0.84833,0.57188,0.84988,0.9436,0.911,0.83238,1.50331,0.52373,0.36719,1.06268,2.53797,0.0009704,0.0009704,0.0009704
54,1340.39,0.90995,0.36628,0.33213,0.70026,1.46519,0.93264,0.76966,0.89093,0.59184,0.88871,0.88735,0.91982,0.83369,1.43866,0.51888,0.36692,0.97652,2.42058,0.0009506,0.0009506,0.0009506
